title	link	dataSetCode	dataSetType	description	updateDate
BRFSS: Table of Health Care Access/Coverage	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Health-Care-Access-Coverage/f7a2-7inb	f7a2-7inb	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Demographics	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Demographics/6rsf-i7tq	6rsf-i7tq	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Physical Activity	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Physical-Activity/urh8-82n7	urh8-82n7	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
VEHSS Composite Prevalence Estimates - Visual Acuity Loss (County data filter)	https://data.cdc.gov/Vision-Eye-Health/VEHSS-Composite-Prevalence-Estimates-Visual-Acuity/jppf-dq82	jppf-dq82	Filtered View	"VEHSS Composite Prevalence Estimates
2017, 2019, 2021. This dataset contains estimates of the prevalence of visual acuity loss and major eye diseases generated using a Bayesian meta-analytic modeling approach that combines information from multiple data sources to produce comprehensive estimates of prevalence by age, race, and gender at the national, state and county levels. These composite prevalence estimates are the primary surveillance measures developed by the Centers for Disease Control and Prevention’s Vision & Eye Health Surveillance System (VEHSS).  
For more information about these estimates including summary tables and maps, methods, and links to related publications visit https://www.cdc.gov/visionhealth/vehss/estimates/index.html
To view this data in the VEHSS interactive data visualization application, visit https://ddt-vehss.cdc.gov/ and search for “VEHSS Composite Prevalence Estimate”.
Visual Acuity Loss:
Visual acuity loss prevalence estimates represent best-corrected visual acuity in the better-seeing eye and are included in rows where Category=’Measured Visual Acuity’.  Rows with Subgroup = ‘Any vision loss' represents any impairment or blindness of 20/40 or worse; rows with Subgroup = 'US-defined blindness' refers to the subset of vision loss that is 20/200 or worse.
Age Related Macular Degeneration:
The age-related macular degeneration (AMD) estimates represent AMD as measured with retinal imaging examination, and are included in rows where Category = ‘Age Related Macular Degeneration’.  The Subgroup ‘Vision threatening AMD’ includes patients with geographic atrophy, wet-form AMD, or choroidal neovascularization in either eye. The Subgroup ‘Non-vision threatening AMD’ includes patients with early or intermediate dry-form AMD defined as retinal pigment epithelium abnormalities or drusen ≥125 µm in the worse-affected eye, and do not have vision threatening AMD.
Diabetic Retinopathy:
The diabetic retinopathy (DR) estimates represent DR as measured with retinal imaging examination, and are included in rows where Category=’Diabetic Eye Diseases’.  The Subgroup ‘Vision threatening DR’ includes patients with severe non-proliferative DR, proliferative DR, and diabetic macular edema. The Subgroup ‘Non-vision threatening DR’ is defined as patients with mild-moderate non-proliferative DR or unspecified DR, and do not have vision threatening DR.
Glaucoma:
VEHSS Composite Prevalence Estimates for glaucoma are forthcoming. 
Age Groups:
The VEHSS Composite Prevalence Estimates are available by major age groups (All ages, ages 0-17, 18-39, 40-64, 65-84, 85+) and detailed (5-year) age groups, which are indicated by the text “by detailed age groups” in the ‘Indicator’ field. 
Prevalence Data Type:
These estimates are also available as crude (Data_Value_Type = ‘Crude Prevalence’) or adjusted data (Data_Value_Type=’Adjusted Prevalence).  Crude Prevalence is the estimate of the actual number and percentage of people living with each condition.  Adjusted Prevalence estimates are adjusted to match the national population by age, race/ethnicity, and gender.  Adjusted prevalence estimates can be used to help identify disparities in prevalence between geographic areas that are not explained by differences in demographic characteristics.

Data Sources:
Data sources for VEHSS Composite Prevalence Estimates include the National Health and Nutrition Examination Survey (NHANES), the American Community Survey (ACS), the National Survey of Children’s Health (NSCH), the Behavioral Risk Factor Surveillance System (BRFSS), Medicare Fee-For-Service claims, the Transformed Medicaid Statistical Information System, MarketScan commercial insurance claims, the Health Resources & Service Administration’s Area Resources File, and published examination study results from the Baltimore Pediatric Eye Disease Study (BPEDS), the Chinese American Eye Study (CHES), the Eye Diseases Prevalence Research Group ("	July 27, 2023
Sports Drinks	https://data.cdc.gov/Youth-Risk-Behaviors/Sports-Drinks/3hyk-s66z	3hyk-s66z	Filtered View	"1991-2017. High School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors 
among youth and young adults: 1) behaviors that contribute to unintentional injuries and violence; 2) tobacco use; 3) alcohol and 
other drug use; 4) sexual behaviors related to unintended pregnancy and sexually transmitted infections (STIs), including human 
immunodeficiency virus (HIV) infection; 5) unhealthy dietary behaviors; and 6) physical inactivity. In addition, YRBSS monitors 
the prevalence of obesity and asthma and other priority health behaviors."	July 27, 2023
BRFSS: Table of Cholesterol Awareness	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Cholesterol-Awareness/xar7-74yx	xar7-74yx	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Colorectal Cancer Screening	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Colorectal-Cancer-Screening/evnt-bfr6	evnt-bfr6	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
500 Cities: Current asthma among adults aged >=18 years	https://data.cdc.gov/500-Cities-Places/500-Cities-Current-asthma-among-adults-aged-18-yea/7zpf-ctr4	7zpf-ctr4	Filtered View	2017. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. This is a filtered subset of the 500 Cities data that provides model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5), health outcomes (13), and use of preventive services (9). It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28,000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2017), Census Bureau 2010 census population data, and American Community Survey (ACS) 2013-2017 estimates. More information about the methodology can be found at www.cdc.gov/500cities.	July 27, 2023
500 Cities: Mental health not good for >=14 days among adults aged >=18 years	https://data.cdc.gov/500-Cities-Places/500-Cities-Mental-health-not-good-for-14-days-amon/i2ek-k3pa	i2ek-k3pa	Filtered View	2017. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. This is a filtered subset of the 500 Cities data that provides model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5), health outcomes (13), and use of preventive services (9). It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28,000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2017), Census Bureau 2010 census population data, and American Community Survey (ACS) 2013-2017 estimates. More information about the methodology can be found at www.cdc.gov/500cities.	July 27, 2023
Adults aged 65+ who have lost all of their natural teeth due to tooth decay or gum disease (by Race)	https://data.cdc.gov/Oral-Health/Adults-aged-65-who-have-lost-all-of-their-natural-/vzr2-2rzq	vzr2-2rzq	Chart	2012-2020 (even years). Data from BRFSS for indicators of adult oral health for even years from 2012 through 2020. National estimates are represented by the median prevalence among 50 states and the District of Columbia data. Estimates are prepared from the BRFSS public use data sets. Estimates in this file are not age adjusted, and may differ slightly from estimates available from the BRFSS web site or Chronic Disease Indicators due to small differences in definition, age adjustment or rounding.  For more information, see: http://www.cdc.gov/oralhealthdata/overview/Adult_Indicators.html	July 27, 2023
BRFSS: Table of Tobacco Use	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Tobacco-Use/bq95-jg9r	bq95-jg9r	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
2020 Final Assisted Reproductive Technology (ART) Services and Profiles	https://data.cdc.gov/Assisted-Reproductive-Technology-ART-/2020-Final-Assisted-Reproductive-Technology-ART-Se/92ri-yjps	92ri-yjps	Dataset	ART data are made available as part of the National ART Surveillance System (NASS) that collects success rates, services, profiles and annual summary data from fertility clinics across the U.S. There are four datasets available: ART Services and Profiles, ART Patient and Cycle Characteristics, ART Success Rates, and ART Summary. All four datasets may be linked by “ClinicID.” ClinicID is a unique identifier for each clinic that reported cycles. The Services and Profiles dataset provides an overview of clinic services, the clinic’s contact information, location, the medical director’s name, and summary statistics.	August 30, 2023
500 Cities: Cancer (excluding skin cancer) among adults aged >=18 years	https://data.cdc.gov/500-Cities-Places/500-Cities-Cancer-excluding-skin-cancer-among-adul/9f46-utxd	9f46-utxd	Filtered View	2017. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. This is a filtered subset of the 500 Cities data that provides model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5), health outcomes (13), and use of preventive services (9). It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28,000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2017), Census Bureau 2010 census population data, and American Community Survey (ACS) 2013-2017 estimates. More information about the methodology can be found at www.cdc.gov/500cities.	July 27, 2023
DASH YRBSS - Physical Fight (MS)	https://data.cdc.gov/Youth-Risk-Behaviors/DASH-YRBSS-Physical-Fight-MS-/dr7j-7p7w	dr7j-7p7w	Chart	"1991-2017. Middle School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors 
among youth and young adults: 1) behaviors that contribute to unintentional injuries and violence; 2) tobacco use; 3) alcohol and 
other drug use; 4) sexual behaviors related to unintended pregnancy and sexually transmitted infections (STIs), including human 
immunodeficiency virus (HIV) infection; 5) unhealthy dietary behaviors; and 6) physical inactivity. In addition, YRBSS monitors 
the prevalence of obesity and asthma and other priority health behaviors."	July 27, 2023
500 Cities: Local Data for Better Health, 2016 release	https://data.cdc.gov/500-Cities-Places/500-Cities-Local-Data-for-Better-Health-2016-relea/9z78-nsfp	9z78-nsfp	Dataset	"This is the complete dataset for the 500 Cities project 2016 release. This dataset includes 2013, 2014 model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5), health outcomes (13), and use of preventive services (9). Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28,000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2013, 2014), Census Bureau 2010 census population data, and American Community Survey (ACS) 2009-2013, 2010-2014 estimates. More information about the methodology can be found at www.cdc.gov/500cities.
Note: During the process of uploading the 2015 estimates, CDC found a data discrepancy in the published 500 Cities data for the 2014 city-level obesity crude prevalence estimates caused when reformatting the SAS data file to the open data format. . The small area estimation model and code were correct. This data discrepancy only affected the 2014 city-level obesity crude prevalence estimates on the Socrata open data file, the GIS-friendly data file, and the 500 Cities online application. The other obesity estimates (city-level age-adjusted and tract-level) and the Mapbooks were not affected. No other measures were affected. The correct estimates are update in this dataset on October 25, 2017."	September 6, 2023
Percent of population served by CWS that are receiving fluoridated water	https://data.cdc.gov/Oral-Health/Percent-of-population-served-by-CWS-that-are-recei/h55t-vp3s	h55t-vp3s	Chart	2000-2018. Water Fluoridation Statistics is a biennial report of the percentage and number of people receiving fluoridated water from 2000 through 2018, originally published at http://www.cdc.gov/fluoridation/statistics/index.htm. For more information, see: http://www.cdc.gov/oralhealthdata/overview/fluoridation_indicators.html	July 27, 2023
BRFSS: Table of Oral Health	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Oral-Health/96er-cudr	96er-cudr	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Graph of Current Prevalence of Diabetes	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Graph-of-Current-Prevalence-of-Diabetes/7yww-23y7	7yww-23y7	Chart	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct/data	November 17, 2023
DASH YRBSS - Physical Fight (MS)	https://data.cdc.gov/Youth-Risk-Behaviors/DASH-YRBSS-Physical-Fight-MS-/dr7j-7p7w	dr7j-7p7w	Chart	"1991-2017. Middle School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors 
among youth and young adults: 1) behaviors that contribute to unintentional injuries and violence; 2) tobacco use; 3) alcohol and 
other drug use; 4) sexual behaviors related to unintended pregnancy and sexually transmitted infections (STIs), including human 
immunodeficiency virus (HIV) infection; 5) unhealthy dietary behaviors; and 6) physical inactivity. In addition, YRBSS monitors 
the prevalence of obesity and asthma and other priority health behaviors."	July 27, 2023
BRFSS: Table of Hypertension Awareness	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Hypertension-Awareness/qk2m-jri4	qk2m-jri4	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
Stroke Mortality Data Among US Adults (35+) by State/Territory and County	https://data.cdc.gov/Heart-Disease-Stroke-Prevention/Stroke-Mortality-Data-Among-US-Adults-35-by-State-/dhsy-4sea	dhsy-4sea	Dataset	2012 to 2014, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by gender and race/ethnicity. Data source: National Vital Statistics System. Additional data, maps, and methodology can be viewed on the Interactive Atlas of Heart Disease and Stroke http://www.cdc.gov/dhdsp/maps/atlas	August 25, 2023
BRFSS: Table of Demographics	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Demographics/6rsf-i7tq	6rsf-i7tq	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Physical Activity	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Physical-Activity/urh8-82n7	urh8-82n7	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
Rates and Trends in Coronary Heart Disease and Stroke Mortality Data Among US Adults (35+) by County – 1999-2018	https://data.cdc.gov/Heart-Disease-Stroke-Prevention/Rates-and-Trends-in-Coronary-Heart-Disease-and-Str/9cr5-2tt7	9cr5-2tt7	Dataset	This dataset documents rates and trends in local coronary heart disease (CHD) and stroke death rates. Specifically, this report presents county (or county equivalent) estimates of stroke and CHD death rates in 1999-2018 and trends during three intervals (1999-2005, 2005-2011, 2011-2018) by age group (ages 35–64 and 65 and older). The rates and trends were estimated using a Bayesian spatiotempotal model and a smoothed over space, time, and age group. Rates are age-standardized. Data source: National Vital Statistics System.	August 24, 2023
BRFSS: Table of Cholesterol Awareness	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Cholesterol-Awareness/xar7-74yx	xar7-74yx	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Oral Health	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Oral-Health/96er-cudr	96er-cudr	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
Sports Drinks	https://data.cdc.gov/Youth-Risk-Behaviors/Sports-Drinks/3hyk-s66z	3hyk-s66z	Filtered View	"1991-2017. High School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors 
among youth and young adults: 1) behaviors that contribute to unintentional injuries and violence; 2) tobacco use; 3) alcohol and 
other drug use; 4) sexual behaviors related to unintended pregnancy and sexually transmitted infections (STIs), including human 
immunodeficiency virus (HIV) infection; 5) unhealthy dietary behaviors; and 6) physical inactivity. In addition, YRBSS monitors 
the prevalence of obesity and asthma and other priority health behaviors."	July 27, 2023
BRFSS: Graph of Current Prevalence of Diabetes	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Graph-of-Current-Prevalence-of-Diabetes/7yww-23y7	7yww-23y7	Chart	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct/data	November 17, 2023
Sports Drinks	https://data.cdc.gov/Youth-Risk-Behaviors/Sports-Drinks/3hyk-s66z	3hyk-s66z	Filtered View	"1991-2017. High School Dataset. The Youth Risk Behavior Surveillance System (YRBSS) monitors six categories of priority health behaviors 
among youth and young adults: 1) behaviors that contribute to unintentional injuries and violence; 2) tobacco use; 3) alcohol and 
other drug use; 4) sexual behaviors related to unintended pregnancy and sexually transmitted infections (STIs), including human 
immunodeficiency virus (HIV) infection; 5) unhealthy dietary behaviors; and 6) physical inactivity. In addition, YRBSS monitors 
the prevalence of obesity and asthma and other priority health behaviors."	July 27, 2023
500 Cities: Current lack of health insurance among adults aged 18-64 years	https://data.cdc.gov/500-Cities-Places/500-Cities-Current-lack-of-health-insurance-among-/8dbf-5cp2	8dbf-5cp2	Filtered View	2017. Data were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. The project was funded by the Robert Wood Johnson Foundation (RWJF) in conjunction with the CDC Foundation. This is a filtered subset of the 500 Cities data that provides model-based small area estimates for 27 measures of chronic disease related to unhealthy behaviors (5), health outcomes (13), and use of preventive services (9). It represents a first-of-its kind effort to release information on a large scale for cities and for small areas within those cities. It includes estimates for the 500 largest US cities and approximately 28,000 census tracts within these cities. These estimates can be used to identify emerging health problems and to inform development and implementation of effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these measures include Behavioral Risk Factor Surveillance System (BRFSS) data (2017), Census Bureau 2010 census population data, and American Community Survey (ACS) 2013-2017 estimates. More information about the methodology can be found at www.cdc.gov/500cities.	July 27, 2023
PLACES: Local Data for Better Health, Place Data 2022 release	https://data.cdc.gov/500-Cities-Places/PLACES-Local-Data-for-Better-Health-Place-Data-202/epbn-9bv3	epbn-9bv3	Dataset	This dataset contains model-based place (incorporated and census-designated places) level estimates for the PLACES 2022 release. PLACES covers the entire United States—50 states and the District of Columbia (DC)—at county, place, census tract, and ZIP Code Tabulation Area levels. It provides information uniformly on this large scale for local areas at 4 geographic levels. Estimates were provided by the Centers for Disease Control and Prevention (CDC), Division of Population Health, Epidemiology and Surveillance Branch. PLACES was funded by the Robert Wood Johnson Foundation in conjunction with the CDC Foundation. The dataset includes estimates for 29 measures: 13 for health outcomes, 9 for preventive services use, 4 for chronic disease-related health risk behaviors, and 3 for health status. These estimates can be used to identify emerging health problems and to help develop and carry out effective, targeted public health prevention activities. Because the small area model cannot detect effects due to local interventions, users are cautioned against using these estimates for program or policy evaluations. Data sources used to generate these model-based estimates include Behavioral Risk Factor Surveillance System (BRFSS) 2020 or 2019 data, Census Bureau 2010 population data, and American Community Survey 2015–2019 estimates. The 2022 release uses 2020 BRFSS data for 25 measures and 2019 BRFSS data for 4 measures (high blood pressure, taking high blood pressure medication, high cholesterol, and cholesterol screening) that the survey collects data on every other year. More information about the methodology can be found at   www.cdc.gov/places.	August 25, 2023
BRFSS: Table of Immunization	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Immunization/ehiz-zk8j	ehiz-zk8j	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
BRFSS: Table of Women's Health	https://data.cdc.gov/Behavioral-Risk-Factors/BRFSS-Table-of-Women-s-Health/i8ja-z54a	i8ja-z54a	Filtered View	2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death. Data will be updated annually as it becomes available. Detailed information on sampling methodology and quality assurance can be found on the BRFSS website (http://www.cdc.gov/brfss). Methodology: http://www.cdc.gov/brfss/factsheets/pdf/DBS_BRFSS_survey.pdf Glossary: https://chronicdata.cdc.gov/Behavioral-Risk-Factors/Behavioral-Risk-Factor-Surveillance-System-BRFSS-H/iuq5-y9ct	November 17, 2023
